time_min,reactor_temperature_K,coolant_temperature_K,feed_temperature_K,reactant_concentration_mol_L,product_concentration_mol_L,feed_concentration_mol_L,feed_flow_rate_L_min,cooling_duty_kJ_min,reaction_rate_mol_L_min,conversion_fraction,heat_transfer_UA_kJ_min_K,residence_time_min,event,regime,fault_active
0.0,365.02437736638035,299.94800079468797,350.0375225597903,0.27141084707458685,0.7270734472170192,0.9986978204931377,100.01917606047509,3249.920939351914,0.7542638687278239,0.7291469560724264,50.04396989874314,1.000777791935429,normal,normal,0
1.0,365.06885035947727,299.6251156308377,350.0233754671126,0.2584044329209662,0.7408597545608326,0.999041117399171,100.13176754519608,3274.728235181409,0.7284387999895446,0.739625698840305,50.0611270669337,0.9998454705179312,normal,normal,0
2.0,365.29314223506304,298.62840790008465,350.02661545927765,0.2592086718086207,0.7419585932053193,1.000430821003008,100.32124714013057,3333.9680904072557,0.7380801624856471,0.7405257215596776,50.030798971128775,1.0011289722927208,normal,normal,0
3.0,365.3075536297169,298.5216914063492,349.95877593921546,0.26053784271508373,0.7415529277234583,1.0005431542683052,99.90017354390669,3337.7065501373654,0.7403832637082114,0.7406567350633824,50.04357143889741,1.0002235955487746,normal,normal,0
4.0,365.32485473202235,298.5990811513586,350.0144559699345,0.2610557286726561,0.7377054699363181,0.9996803287836427,99.92944410185608,3333.582252992563,0.7395456220784107,0.7413861449773361,49.95670844421534,1.0009682783545915,normal,normal,0
5.0,365.1042097381294,298.5786730971754,350.00813765325523,0.2613558096683343,0.740590363698394,1.0007933472352,99.94769123916274,3332.0555106110314,0.7395059121517478,0.739332219503823,49.936215683833105,0.9988667127859965,normal,normal,0
6.0,365.13979739934837,298.61185212323596,350.0071212868035,0.2618428363038638,0.7385520127577331,1.0001585396910768,100.0938385590951,3331.2406381748315,0.7390474180164002,0.7385309657861713,49.98184730767175,0.9996182621060017,normal,normal,0
7.0,365.0947140808525,298.6046251872439,349.97652988298984,0.26112759503308525,0.7396122661333654,1.00044653117603,100.09980776634592,3330.4806130936217,0.7384362271051363,0.7388114279340999,49.915633278302096,0.9985528875275769,normal,normal,0
8.0,365.0639100420012,298.5249419288079,350.01998871133617,0.26002043244857803,0.7380541051373227,1.0012992282977862,99.94656040434079,3329.930465932198,0.7379939199147107,0.7384159114105143,49.95249889725447,0.9996609669240994,normal,normal,0
9.0,365.2185305918023,298.4835723554539,350.0217211821773,0.2619757300027851,0.7374896484671682,0.9985539421456116,100.01081942615708,3328.9360050323435,0.7382469826310988,0.7384027255462368,50.08008894456604,0.999760644372527,normal,normal,0
10.0,365.053009531981,298.57454894923586,350.01099983419857,0.26387245293120887,0.7394189953005237,1.0003568710591495,100.21949543368294,3328.1680174315543,0.7377078572329923,0.7372397524902462,49.980509509842214,0.9986233138524437,normal,normal,0
11.0,365.17106372784923,298.55060055665984,349.9264596852749,0.26050174025541384,0.7384451618939502,1.0008381265678943,100.29950963375377,3328.655463645965,0.7379599323893502,0.7369853530027429,49.893397685963436,1.000267711462344,normal,normal,0
12.0,365.0421646492491,298.5374985877648,349.969395160047,0.2619847137473394,0.7394030702692175,1.0001570485674454,99.9762047744442,3327.187760866802,0.7369730031155397,0.7373177920139626,49.99731087245908,1.00176792991358,normal,normal,0
13.0,365.1059852470804,298.6043369643329,349.97503522007304,0.2605708366884946,0.7362040725185314,0.9992747739354643,100.31927045986528,3326.8128181592356,0.737843326744883,0.7367488204837928,50.04657865064371,1.0003849509661058,normal,normal,0
14.0,365.0726575538044,298.5504322078214,349.96726061522855,0.26315325626314723,0.7368333768185649,0.9987743942362327,99.80830936385206,3326.6790595538737,0.73801922121625,0.7376758436526493,49.99406808369451,1.0002858261396026,normal,normal,0
15.0,365.1804190586793,298.5610102205192,349.9794536384583,0.2642647862210457,0.7380377815017365,1.001535755991996,100.02748516558329,3325.9887739366573,0.7367329803517142,0.7390455747762753,50.086183286039166,0.9998204807867174,normal,normal,0
16.0,365.03703793657934,298.6209498983459,349.9446477158978,0.26137135684674173,0.738251542816858,0.9996053948771404,99.99923171999198,3325.949901202192,0.7373195568088549,0.7386940344861381,50.00452924534509,1.0006439387932768,normal,normal,0
17.0,364.89632789827294,298.5435154410655,349.95783848648534,0.26098162573956274,0.7358729261194086,0.9996658765592992,100.1373853813534,3325.3879170802375,0.7371114299829435,0.7367059852364682,49.9836163452819,1.0010027578253047,normal,normal,0
18.0,365.0968372772649,298.61110631319826,349.9922747160375,0.26185189184571794,0.7367684060114551,1.0002424967912713,100.02648600376806,3325.2064847058637,0.7370592584814999,0.7373324225669149,50.1258737018767,1.0018768446112816,normal,normal,0
19.0,364.9796866615915,298.5283388010054,349.9268278999082,0.26208639403963424,0.737500952944806,1.0012058536208883,99.89063742433846,3325.0983714176477,0.7360962945508864,0.7368648795188756,49.94687927940702,0.999470560572634,normal,normal,0
20.0,364.97258894513834,298.5366352522047,349.91211358043216,0.2608402344489573,0.7401530683509987,0.998712577418726,99.8354821632318,3325.528699755801,0.7380567220375465,0.7357876310541308,49.9815875521606,1.0003415555509405,normal,normal,0
21.0,365.17639156591247,298.49079203349544,349.9877361077029,0.2642677401989135,0.737550415276879,0.9996238439287699,99.97992655532259,3324.554319395066,0.7367454877458633,0.7366318786751701,50.011608494481315,0.999444672781181,normal,normal,0
22.0,365.07168003690117,298.58969212344886,350.0077714663834,0.2636837075608054,0.7369236600731601,1.0000000843930914,99.89176629496858,3324.8241546924014,0.7367537546088848,0.738937095360724,50.07866774512376,1.0003858465525566,normal,normal,0
23.0,364.9692232357675,298.4824740866614,350.05955714765446,0.26359862161597636,0.7375157173268317,0.9982554140130258,100.13911577223372,3324.7222626986804,0.7363055759856928,0.7363239774142943,50.013185860217824,1.0000524667983564,normal,normal,0
24.0,365.00360685147496,298.53205998739634,349.98740113108965,0.2634765287872993,0.7389595529403441,0.9974333415590687,99.96447246032355,3324.5314353823223,0.7368299836426733,0.7363804003995331,49.91216391087607,1.000327995483714,normal,normal,0
25.0,365.1622369378775,298.4597789942976,350.0431914006849,0.26279340283348795,0.7366218228130844,0.998947101489296,99.94983157414661,3324.7038539587206,0.7369105711626904,0.7384461209372377,50.058870594448884,1.0004390866789297,normal,normal,0
26.0,365.1609503563979,298.5577427992701,350.0413994088399,0.2628756557200328,0.736779306573454,0.9993025761766997,100.14843759018923,3323.987546742784,0.7369600485977256,0.73648883679216,50.05856235467336,1.0007508689887312,normal,normal,0
27.0,365.1647581214164,298.5717260555557,349.92139798721735,0.2632506770793564,0.734890882372404,0.9994817201576337,100.2266842649915,3324.3553388430187,0.736340444733768,0.7356351757948558,50.001639104643814,0.9987834398506189,normal,normal,0
28.0,364.96333930399874,298.5502472330133,350.05776560180533,0.26429152188760746,0.733184686057832,1.0003043667290303,100.01080503598489,3324.2226609090785,0.7372423599314609,0.7345583820439244,49.97044482874045,1.0005909063227933,normal,normal,0
29.0,364.88865266426933,298.6079623160772,350.01841783063503,0.2646725704753033,0.7357408900111791,1.000813763689966,100.16027073339835,3324.108987132591,0.7366681281956338,0.7368676487427436,49.95683273676303,0.9998524713197596,normal,normal,0
30.0,365.0013286947017,298.5529063903994,350.0499912123455,0.2618365661035277,0.7363881162280254,1.001481455547659,99.88846176567812,3323.784127501486,0.7366360995033148,0.73742001496399,50.000571302778035,1.001328960590437,normal,normal,0
31.0,365.08060388093577,298.57544507682945,350.0277058250662,0.2669351687193308,0.7362485683978893,0.9979964777079335,100.24063815422757,3323.820889584536,0.7365812305396602,0.7378658616160488,49.91988702294705,0.9987483527858939,normal,normal,0
32.0,364.8826475947096,298.493306666924,350.02198183030083,0.2642471945275822,0.7369534985056297,0.9985872341161076,99.6534844845051,3323.9004058090413,0.73633412813018,0.7369984730083534,50.035097681311065,1.0001382414320588,normal,normal,0
