,X,Y,label_category
0,0.4525923854718177,0.16843330787671648,Outer
1,-0.4380265168625119,0.11990049006250848,Outer
2,-0.5322243047798006,0.18435902070227286,Outer
3,-0.301401805199631,0.40078207278129496,Outer
4,0.4456022308704517,-0.8949355556090886,Inner
5,-0.2845276025762298,0.4721509208220695,Outer
6,-0.012275565909956295,0.5056469951125571,Outer
7,0.4636171694677216,0.11073500852047391,Outer
8,-0.11577891578972052,-0.5058803772454405,Outer
9,-0.11061613303644917,1.042207472050681,Inner
10,-0.4705598400276473,-0.3287877316727311,Outer
11,0.5640625374883906,0.8637200976002545,Inner
12,-0.0814012753960446,0.5602833345064406,Outer
13,0.43767461692223036,-0.27792626764278755,Outer
14,0.4083474906382261,-0.393502233011698,Outer
15,0.06950819395134096,-0.476629601441125,Outer
16,-0.9417354191897599,-0.32696930389742757,Inner
17,0.09480139841636791,-0.49269448619618045,Outer
18,-0.5394715099442249,-0.05454808228110421,Outer
19,-0.6387962425634154,-0.7339956772879658,Inner
20,0.36442928967135685,0.2687677080527562,Outer
21,-0.5521037976054626,0.87870560347877,Inner
22,-0.001948217781789767,-0.9946342130483776,Inner
23,0.4471255167503748,0.1866008001954586,Outer
24,-0.9308762019085371,0.4409036021386705,Inner
25,-0.9067986851057075,0.20748303858807068,Inner
26,0.2796652448883871,0.9963214789759064,Inner
27,0.5566309154570824,-0.10974340739992001,Outer
28,0.14503937513901957,-0.4991275566137825,Outer
29,0.44133673200407764,-0.26025193416916087,Outer
30,-0.2871167126486955,-0.8838987949641703,Inner
31,-0.2566339629467021,0.9986125505751153,Inner
32,-0.027797111052467807,0.473722759554438,Outer
33,1.0084507543828594,0.029212230034143125,Inner
34,-0.1073326866518671,-1.1142627115008916,Inner
35,-0.7849638565575638,0.7401088768645327,Inner
36,-0.36146729588293214,0.35811361035215566,Outer
37,0.33547185170094973,0.46460560828785225,Outer
38,0.17131485675275163,-0.4514433192316985,Outer
39,0.7500253139868563,0.6183450867131892,Inner
40,-0.6239478743781727,-0.7362544935896008,Inner
